id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,loudness_db,duration_seconds,clarity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.08,-4.2,210,0.88
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.45,-10.5,240,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.12,-3.8,240,0.92
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.72,-11.2,280,0.35
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.02,-2.5,200,0.85
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,-12.1,320,0.52
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.65,-8.3,210,0.78
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.58,-6.4,240,0.80
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.52,-10.8,250,0.40
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.15,-4.6,220,0.85
11,Neon Dreams,Synth Wave Collective,electronic,dark,0.88,128,0.42,0.82,0.12,0.82,-5.1,280,0.90
12,City Cipher,Urban Beats,hip-hop,confident,0.72,95,0.73,0.71,0.25,0.18,-4.8,220,0.82
13,Dust Road Sunset,The Wanderers,country,nostalgic,0.56,100,0.78,0.68,0.64,0.28,-7.2,260,0.76
14,Whiskey Blues,BB's Legacy,blues,melancholic,0.51,88,0.44,0.42,0.87,0.48,-8.9,240,0.72
15,Serenity Suite,Maestro Strings,classical,peaceful,0.32,85,0.79,0.28,0.95,0.94,-10.7,300,0.96
16,Island Vibes,Reggae Kings,reggae,uplifting,0.64,96,0.82,0.75,0.68,0.32,-6.8,260,0.74
17,Velvet Night,R&B Soul,r&b,romantic,0.68,106,0.75,0.79,0.45,0.22,-5.9,240,0.84
18,Deep Soul Sound,Soul Collective,soul,soulful,0.59,92,0.68,0.64,0.71,0.35,-7.5,250,0.78
